canonical_name,phonetic_variation,category
Horsehead Nebula,horsehead nebula,nebula
Horsehead Nebula,horse head nebula,nebula
Horsehead Nebula,horse head,nebula
Horsehead Nebula,horsehead,nebula
Horsehead Nebula,hors head nebula,nebula
Horsehead Nebula,horss head nebula,nebula
Horsehead Nebula,horse hed nebula,nebula
Horsehead Nebula,horshead nebula,nebula
Horsehead Nebula,horse had nebula,nebula
Horsehead Nebula,horsehed nebula,nebula
Horsehead Nebula,hoarse head nebula,nebula
Horsehead Nebula,hourse head nebula,nebula
Horsehead Nebula,hourss head,nebula
Horsehead Nebula,horrse head nebula,nebula
Horsehead Nebula,horsee head nebula,nebula
Horsehead Nebula,horse heed nebula,nebula
Horsehead Nebula,hors hed nebula,nebula
Horsehead Nebula,horz head nebula,nebula
Horsehead Nebula,horse head nebuula,nebula
Horsehead Nebula,horsehead nebulaa,nebula
Horsehead Nebula,horse head nebullah,nebula
Horsehead Nebula,horrsehead,nebula
Horsehead Nebula,the horsehead,nebula
Horsehead Nebula,the horse head nebula,nebula
Horsehead Nebula,barnard 33,nebula
Horsehead Nebula,go to horsehead,nebula
Horsehead Nebula,slew to horse head,nebula
Horsehead Nebula,show me horsehead,nebula
Horsehead Nebula,navigate to horse head nebula,nebula
Horsehead Nebula,find horsehead nebula,nebula
Horsehead Nebula,hoars head nebula,nebula
Horsehead Nebula,hoors head nebula,nebula
Horsehead Nebula,horse head nebyula,nebula
Orion Nebula,orion nebula,nebula
Orion Nebula,orion,nebula
Orion Nebula,the orion nebula,nebula
Orion Nebula,orion nebuula,nebula
Orion Nebula,oryon nebula,nebula
Orion Nebula,orian nebula,nebula
Orion Nebula,oriun nebula,nebula
Orion Nebula,orien nebula,nebula
Orion Nebula,oreon nebula,nebula
Orion Nebula,oriin nebula,nebula
Orion Nebula,orrion nebula,nebula
Orion Nebula,m42,nebula
Orion Nebula,messier 42,nebula
Orion Nebula,the great orion nebula,nebula
Orion Nebula,orion nebullah,nebula
Orion Nebula,go to orion,nebula
Orion Nebula,slew to orion nebula,nebula
Orion Nebula,show me orion,nebula
Orion Nebula,navigate to orion,nebula
Orion Nebula,find orion nebula,nebula
Orion Nebula,orion neb,nebula
Orion Nebula,oh ryan nebula,nebula
Orion Nebula,o ryan nebula,nebula
Orion Nebula,orien,nebula
Crab Nebula,crab nebula,nebula
Crab Nebula,the crab nebula,nebula
Crab Nebula,crab,nebula
Crab Nebula,m1,nebula
Crab Nebula,messier 1,nebula
Crab Nebula,crab nebuula,nebula
Crab Nebula,crabb nebula,nebula
Crab Nebula,krab nebula,nebula
Crab Nebula,crahb nebula,nebula
Crab Nebula,crap nebula,nebula
Crab Nebula,grab nebula,nebula
Crab Nebula,crabe nebula,nebula
Crab Nebula,craab nebula,nebula
Crab Nebula,go to crab,nebula
Crab Nebula,slew to crab nebula,nebula
Crab Nebula,show me the crab,nebula
Crab Nebula,navigate to crab nebula,nebula
Crab Nebula,find crab nebula,nebula
Crab Nebula,taurus a,nebula
Eagle Nebula,eagle nebula,nebula
Eagle Nebula,the eagle nebula,nebula
Eagle Nebula,eagle,nebula
Eagle Nebula,m16,nebula
Eagle Nebula,messier 16,nebula
Eagle Nebula,eagel nebula,nebula
Eagle Nebula,eegle nebula,nebula
Eagle Nebula,egale nebula,nebula
Eagle Nebula,eagal nebula,nebula
