command,phonetic_variation,category,ascom_action
slew to target,slew to target,navigation,SlewToTarget
slew to target,slew two target,navigation,SlewToTarget
slew to target,slue to target,navigation,SlewToTarget
slew to target,slew too target,navigation,SlewToTarget
slew to target,slew to the target,navigation,SlewToTarget
go to target,go to target,navigation,SlewToTarget
go to target,go two target,navigation,SlewToTarget
go to target,goto target,navigation,SlewToTarget
go to target,go too target,navigation,SlewToTarget
go to target,go to the target,navigation,SlewToTarget
point to target,point to target,navigation,SlewToTarget
point to target,point two target,navigation,SlewToTarget
point to target,point at target,navigation,SlewToTarget
point to target,point too target,navigation,SlewToTarget
move to target,move to target,navigation,SlewToTarget
move to target,move two target,navigation,SlewToTarget
move to target,move too target,navigation,SlewToTarget
move to target,moov to target,navigation,SlewToTarget
track target,track target,navigation,SlewToTarget
track target,track the target,navigation,SlewToTarget
track target,trak target,navigation,SlewToTarget
center target,center target,navigation,SlewToTarget
center target,centre target,navigation,SlewToTarget
center target,center the target,navigation,SlewToTarget
center target,sentre target,navigation,SlewToTarget
slew to coordinates,slew to coordinates,navigation,SlewToCoordinates
slew to coordinates,slew two coordinates,navigation,SlewToCoordinates
slew to coordinates,slew to cordinates,navigation,SlewToCoordinates
slew to coordinates,slue to coordinates,navigation,SlewToCoordinates
go to coordinates,go to coordinates,navigation,SlewToCoordinates
go to coordinates,go two coordinates,navigation,SlewToCoordinates
go to coordinates,goto coordinates,navigation,SlewToCoordinates
go to coordinates,go to cordinates,navigation,SlewToCoordinates
slew to ra dec,slew to ra dec,navigation,SlewToCoordinates
slew to ra dec,slew to ra deck,navigation,SlewToCoordinates
slew to ra dec,slew two ra dec,navigation,SlewToCoordinates
slew to ra dec,slue to ra dec,navigation,SlewToCoordinates
move north,move north,movement,MoveAxis_North
move north,moov north,movement,MoveAxis_North
move north,move nort,movement,MoveAxis_North
move north,move northe,movement,MoveAxis_North
move north,moving north,movement,MoveAxis_North
go north,go north,movement,MoveAxis_North
go north,go nort,movement,MoveAxis_North
go north,going north,movement,MoveAxis_North
nudge north,nudge north,movement,MoveAxis_North
nudge north,nuj north,movement,MoveAxis_North
north,north,movement,MoveAxis_North
